,Attrition_num
TotalWorkingYears,-0.17106324613622612
JobLevel,-0.16910475093102761
YearsInCurrentRole,-0.1605450042677008
MonthlyIncome,-0.15983958238498852
Age,-0.15920500686577962
YearsWithCurrManager,-0.15619931590162878
StockOptionLevel,-0.1371449189333256
YearsAtCompany,-0.13439221398997708
JobInvolvement,-0.13001595678605374
JobSatisfaction,-0.10348112606902123
EnvironmentSatisfaction,-0.10336897833793605
WorkLifeBalance,-0.0639390472174089
TrainingTimesLastYear,-0.05947779855642055
DailyRate,-0.05665199186762936
RelationshipSatisfaction,-0.04587227888112669
YearsSinceLastPromotion,-0.03301877514258431
Education,-0.03137281964004931
PercentSalaryHike,-0.01347820205743911
EmployeeNumber,-0.010577242759242777
HourlyRate,-0.006845549572139936
PerformanceRating,0.0028887517110808684
MonthlyRate,0.015170212530471466
NumCompaniesWorked,0.04349373905781365
DistanceFromHome,0.07792358295570367
OverTime_num,0.24611799424580438
